refund_id,settlement_id,invoice_ref,refund_type,original_order_amount,refund_amount,refund_ratio,allocated_fee_reversal,allocated_gst_reversal,allocated_net_reversal,refund_date,reason
rfnd_9001,stl_021,order_88021x,partial,4417.33,952.12,0.2155,23.8,4.28,923.85,2026-08-30,"Refund ₹952.12 is 21.6% of original order ₹4417.33 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_021."
rfnd_9002,stl_111,order_88111x,partial,4246.83,2029.89,0.478,50.75,9.13,1970.1,2026-08-23,"Refund ₹2029.89 is 47.8% of original order ₹4246.83 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_111."
rfnd_9003,stl_428,order_88428x,full,2065.66,2065.66,1.0,51.64,9.3,2004.72,2026-08-30,"Refund ₹2065.66 is 100.0% of original order ₹2065.66 (full) — fee/GST/net reversed proportionally, tied to settlement stl_428."
rfnd_9004,stl_439,order_88439x,full,2958.59,2958.59,1.0,73.96,13.31,2871.32,2026-08-09,"Refund ₹2958.59 is 100.0% of original order ₹2958.59 (full) — fee/GST/net reversed proportionally, tied to settlement stl_439."
rfnd_9005,stl_168,order_88168x,full,562.63,562.63,1.0,14.07,2.53,546.03,2026-08-18,"Refund ₹562.63 is 100.0% of original order ₹562.63 (full) — fee/GST/net reversed proportionally, tied to settlement stl_168."
rfnd_9006,stl_076,order_88076x,partial,3504.1,2422.33,0.6913,60.56,10.9,2350.92,2026-08-25,"Refund ₹2422.33 is 69.1% of original order ₹3504.10 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_076."
rfnd_9007,stl_047,order_88047x,full,3505.38,3505.38,1.0,87.63,15.77,3401.98,2026-08-13,"Refund ₹3505.38 is 100.0% of original order ₹3505.38 (full) — fee/GST/net reversed proportionally, tied to settlement stl_047."
rfnd_9008,stl_365,order_88365x,partial,2284.84,1177.03,0.5151,29.42,5.3,1142.2,2026-08-15,"Refund ₹1177.03 is 51.5% of original order ₹2284.84 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_365."
rfnd_9009,stl_128,order_88128x,partial,4998.08,1646.42,0.3294,41.16,7.41,1597.8,2026-08-13,"Refund ₹1646.42 is 32.9% of original order ₹4998.08 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_128."
rfnd_9010,stl_496,order_88496x,full,1812.54,1812.54,1.0,45.31,8.16,1759.07,2026-08-17,"Refund ₹1812.54 is 100.0% of original order ₹1812.54 (full) — fee/GST/net reversed proportionally, tied to settlement stl_496."
rfnd_9011,stl_183,order_88183x,full,3149.84,3149.84,1.0,81.97,14.17,3053.7,2026-08-15,"Refund ₹3149.84 is 100.0% of original order ₹3149.84 (full) — fee/GST/net reversed proportionally, tied to settlement stl_183."
rfnd_9012,stl_203,order_88203x,partial,3995.76,982.91,0.246,24.57,4.42,953.96,2026-08-11,"Refund ₹982.91 is 24.6% of original order ₹3995.76 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_203."
rfnd_9013,stl_263,order_88263x,full,2954.63,2954.63,1.0,73.87,13.3,2867.46,2026-08-13,"Refund ₹2954.63 is 100.0% of original order ₹2954.63 (full) — fee/GST/net reversed proportionally, tied to settlement stl_263."
rfnd_9014,stl_026,order_88026x,full,4680.11,4680.11,1.0,117.0,21.06,4542.05,2026-08-16,"Refund ₹4680.11 is 100.0% of original order ₹4680.11 (full) — fee/GST/net reversed proportionally, tied to settlement stl_026."
rfnd_9015,stl_347,order_88347x,partial,3440.9,1367.76,0.3975,34.19,6.15,1327.41,2026-08-09,"Refund ₹1367.76 is 39.8% of original order ₹3440.90 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_347."
rfnd_9016,stl_154,order_88154x,partial,3242.71,1340.32,0.4133,33.51,6.03,1300.68,2026-08-16,"Refund ₹1340.32 is 41.3% of original order ₹3242.71 (partial) — fee/GST/net reversed proportionally, tied to settlement stl_154."
rfnd_9017,stl_134,order_88134x,full,2359.61,2359.61,1.0,58.99,10.62,2290.0,2026-08-17,"Refund ₹2359.61 is 100.0% of original order ₹2359.61 (full) — fee/GST/net reversed proportionally, tied to settlement stl_134."
rfnd_9018,stl_420,order_88420x,full,1935.09,1935.09,1.0,48.38,8.71,1878.0,2026-08-14,"Refund ₹1935.09 is 100.0% of original order ₹1935.09 (full) — fee/GST/net reversed proportionally, tied to settlement stl_420."
